time,x,y,theta,v,w,error,stage_cost,terminal_cost
0.0,0.0,0.0,0.016455960911183322,0.0,0.1645596091118332,0.0,0.02707986495103934,
0.1,0.0,0.0,0.032755199070596826,0.0,0.16299238159413504,0.0,0.02656651645772813,
0.2,0.0,0.0,0.04889920681913518,0.0,0.16144007748538353,0.0,0.026062898618486638,
0.30000000000000004,0.0,0.0,0.06488946135629252,0.0,0.15990254537157345,0.0,0.025568824016308105,
0.4,0.0,0.0,0.0807274279999804,0.0,0.15837966643687867,0.0,0.025084118740656955,
0.5,-2.107823443779781e-09,-1.705297691571533e-10,0.09641455698257015,-2.114710399160237e-08,0.15687128982589757,2.1147103991602365e-09,0.024608601571641204,
0.6000000000000001,-2.107823443779781e-09,-1.705297691571533e-10,0.11195228521986882,0.0,0.15537728237298667,2.1147103991602365e-09,0.02414209987761484,
0.7000000000000001,-2.107823443779781e-09,-1.705297691571533e-10,0.1273420340957496,0.0,0.15389748875880782,2.1147103991602365e-09,0.02368443704626738,
0.8,-2.107823443779781e-09,-1.705297691571533e-10,0.1425852139091337,0.0,0.15243179813384092,2.1147103991602365e-09,0.023235453082316032,
0.9,-2.107823443779781e-09,-1.705297691571533e-10,0.15768322064087184,0.0,0.15098006731738142,2.1147103991602365e-09,0.02279498072716103,
1.0,-2.107823443779781e-09,-1.705297691571533e-10,0.1726374365849953,0.0,0.14954215944123467,2.1147103991602365e-09,0.022362857450347655,
1.1,-2.107823443779781e-09,-1.705297691571533e-10,0.18744923227567442,0.0,0.1481179569067912,2.1147103991602365e-09,0.021938929158242058,
1.2000000000000002,-2.107823443779781e-09,-1.705297691571533e-10,0.20211996252358816,0.0,0.14670730247913752,2.1147103991602365e-09,0.021523032600705153,
1.3,-2.107823443779781e-09,-1.705297691571533e-10,0.21665097122890037,0.0,0.14531008705312207,2.1147103991602365e-09,0.021115021399385918,
1.4000000000000001,-2.107823443779781e-09,-1.705297691571533e-10,0.23104359039505032,0.0,0.1439261916614994,2.1147103991602365e-09,0.02071474864618266,
1.5,-2.107823443779781e-09,-1.705297691571533e-10,0.24529913636098516,0.0,0.14255545965934827,2.1147103991602365e-09,0.020322059078688073,
1.6,-5.6417622323902145e-11,3.430202516478405e-10,0.2594189150568259,2.1147102563168973e-08,0.14119778695840748,3.476288842274622e-10,0.019936815041952275,
1.7000000000000002,-5.6417622323902145e-11,3.430202516478405e-10,0.2734042199408778,0.0,0.13985304884051925,3.476288842274622e-10,0.01955887526998866,
1.8,-5.6417622323902145e-11,3.430202516478405e-10,0.28725633240440085,0.0,0.1385211246352305,3.476288842274622e-10,0.01918810197020906,
1.9000000000000001,-5.6417622323902145e-11,3.430202516478405e-10,0.3009765191252268,0.0,0.13720186720826003,3.476288842274622e-10,0.018824352365433016,
2.0,-5.6417622323902145e-11,3.430202516478405e-10,0.31456603741140005,0.0,0.13589518286173222,3.476288842274622e-10,0.018467500725023636,
2.1,-5.6417622323902145e-11,3.430202516478405e-10,0.3280261313030701,0.0,0.1346009389167009,3.476288842274622e-10,0.01811741275725745,
2.2,-5.6417622323902145e-11,3.430202516478405e-10,0.3413580348283555,0.0,0.13331903525285427,3.476288842274622e-10,0.0177739651607518,
2.3000000000000003,-1.0527646145038639e-09,-1.0947539187712878e-11,0.35456296732364556,-1.0573554396583292e-08,0.13204932495290037,1.0528215338630454e-09,0.017437024220516788,
2.4000000000000004,-1.0527646145038639e-09,-1.0947539187712878e-11,0.36764213841065085,0.0,0.13079171087005273,1.0528215338630454e-09,0.01710647163231547,
2.5,-1.0527646145038639e-09,-1.0947539187712878e-11,0.38059674574934615,0.0,0.1295460733869532,1.0528215338630454e-09,0.016782185129977863,
2.6,-1.0527646145038639e-09,-1.0947539187712878e-11,0.393427976284517,0.0,0.12831230535170804,1.0528215338630454e-09,0.016464047704669964,
2.7,-1.0527646145038639e-09,-1.0947539187712878e-11,0.4061370049148671,0.0,0.12709028630350136,1.0528215338630454e-09,0.016151940872705946,
2.8000000000000003,-1.0527646145038639e-09,-1.0947539187712878e-11,0.4187249946025716,0.0,0.1258798968770451,1.0528215338630454e-09,0.015845748437775507,
2.9000000000000004,-1.0527646145038639e-09,-1.0947539187712878e-11,0.4311930995937664,0.0,0.1246810499119477,1.0528215338630454e-09,0.015545364207145595,
3.0,-1.0527646145038639e-09,-1.0947539187712878e-11,0.44354245964112665,0.0,0.12349360047360283,1.0528215338630454e-09,0.01525066935793384,
3.1,-1.0527646145038639e-09,-1.0947539187712878e-11,0.4557742078193242,0.0,0.1223174817819757,1.0528215338630454e-09,0.014961566349483958,
3.2,-1.0527646145038639e-09,-1.0947539187712878e-11,0.4678894621866825,0.0,0.12115254367358262,1.0528215338630454e-09,0.014677938838579346,
3.3000000000000003,-1.0527646145038639e-09,-1.0947539187712878e-11,0.4798893339102032,0.0,0.11999871723520762,1.0528215338630454e-09,0.014399692138095317,
3.4000000000000004,-1.0527646145038639e-09,-1.0947539187712878e-11,0.4917749200330773,0.0,0.1188558612287408,1.0528215338630454e-09,0.014126715748425691,
3.5,-1.0527646145038639e-09,-1.0947539187712878e-11,0.5035473113926628,0.0,0.11772391359585481,1.0528215338630454e-09,0.01385891983232429,
3.6,-1.0527646145038639e-09,-1.0947539187712878e-11,0.5152075837768607,0.0,0.11660272384197845,1.0528215338630454e-09,0.013596195207368692,
3.7,-1.0527646145038639e-09,-1.0947539187712878e-11,0.5267568059356428,0.0,0.11549222158782076,1.0528215338630454e-09,0.013338453247290293,
